Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PP9508,Tuesday,2015-02-10,19:45:00,21:00:00,Vancouver Girls Peewee C1,Surrey Female Peewee C1,Killarney Community Centre,Peewee,Red Group,Playoffs C Leagues,Vancouver Girls
MP9310,Tuesday,2015-02-10,20:15:00,21:30:00,North Shore Female Midget C1,Tri Cities Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Playoffs C Leagues,North Shore Female
JP9004,Tuesday,2015-02-10,21:45:00,23:15:00,Chilliwack Female Juvenile C1,Tri Cities Female Juvenile C1,Chilliwack Twin Rinks 2,Juvenile,Black Group,Playoffs C Leagues,Chilliwack
AP9005,Wednesday,2015-02-11,18:00:00,19:15:00,Tri Cities Female Atom C1,North Shore Female Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Black Group,Playoffs C Leagues,Tri Cities Female
PP9014,Wednesday,2015-02-11,18:00:00,19:15:00,Surrey Female Peewee A1,North Shore Female Peewee A1,Cloverdale Arena,Peewee,Flight 1,Playoffs Rep,Surrey Female
BP9509,Thursday,2015-02-12,18:30:00,19:45:00,Abbotsford Female Bantam C1,Surrey Female Bantam C2,MSA Arena - Abbotsford,Bantam,Red Group,Playoffs C Leagues,Abbotsford Female
MP9311,Thursday,2015-02-12,18:30:00,20:00:00,Richmond Girls Midget C1,Langley Girls Midget C1,Richmond Ice Centre Garage,Midget,Black Group,Playoffs C Leagues,Richmond Girls
BP9010,Thursday,2015-02-12,19:30:00,20:45:00,Surrey Female Bantam A1,Vancouver Girls Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue,Bantam,Flight 1,Playoffs Rep,Surrey Female
PP9507,Thursday,2015-02-12,19:30:00,21:00:00,Langley Girls Peewee C2,Vancouver Girls Peewee C1,Langley Sportsplex 2,Peewee,Red Group,Playoffs C Leagues,Langley Girls
MP9706,Thursday,2015-02-12,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Abbotsford Female Midget C1,Planet Ice Maple Ridge 2,Midget,Blue Group,Playoffs C Leagues,Meadow Ridge Female
PP9312,Thursday,2015-02-12,19:45:00,21:00:00,North Shore Female Peewee C1,Tri Cities Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Playoffs C Leagues,North Shore Female
BP9011,Thursday,2015-02-12,20:00:00,21:15:00,Abbotsford Female Bantam A1,Richmond Girls Bantam A1,Matsqui Recreation Centre,Bantam,Flight 1,Playoffs Rep,Abbotsford Female
BP9306,Thursday,2015-02-12,20:00:00,21:15:00,South Delta Female Bantam C1,Surrey Female Bantam C1,Tilbury Ice,Bantam,Black Group,Playoffs C Leagues,South Delta
AP9004,Friday,2015-02-13,18:15:00,19:30:00,Richmond Girls Atom C1,Surrey Female Atom C1,Richmond Ice Centre Igloo,Atom,Black Group,Playoffs C Leagues,Richmond Girls
BP9012,Friday,2015-02-13,19:30:00,20:45:00,North Shore Female Bantam A1,Surrey Female Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Flight 1,Playoffs Rep,North Shore Female
BP9711,Friday,2015-02-13,19:45:00,21:15:00,Richmond Girls Bantam C2,Vancouver Girls Bantam C1,Richmond Ice Centre Igloo,Bantam,Blue Group,Playoffs C Leagues,Richmond Girls
BP9712,Friday,2015-02-13,20:00:00,21:15:00,North Shore Female Bantam C1,Meadow Ridge Female Bantam C1,West Vancouver Ice Arena,Bantam,Blue Group,Playoffs C Leagues,North Shore Female
BP9507,Friday,2015-02-13,20:30:00,22:00:00,Burnaby Female Bantam C1,Tri Cities Female Bantam C2,Burnaby Lake Arena,Bantam,Red Group,Playoffs C Leagues,Burnaby
PP9512,Saturday,2015-02-14,08:45:00,10:00:00,Surrey Female Peewee C1,Abbotsford Female Peewee C1,Planet Ice Delta Canadian,Peewee,Red Group,Playoffs C Leagues,Surrey Female
PP9313,Saturday,2015-02-14,09:45:00,11:00:00,North Shore Winter Club Female Peewee C1,Langley Girls Peewee C1,North Shore Winter Club,Peewee,Black Group,Playoffs C Leagues,North Shore Winter Club
BP9013,Saturday,2015-02-14,10:00:00,11:15:00,Vancouver Girls Bantam A1,Abbotsford Female Bantam A1,Killarney Community Centre,Bantam,Flight 1,Playoffs Rep,Vancouver Girls
