Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
AL9339,Wednesday,2015-01-21,18:00:00,19:15:00,Tri Cities Female Atom C2,Langley Girls Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Blue Group,League,Tri Cities Female
BL9543,Wednesday,2015-01-21,18:30:00,19:45:00,Richmond Girls Bantam C2,Langley Girls Bantam C1,Richmond Ice Centre Coliseum,Bantam,Red Group,League,Richmond Girls
AL9536,Wednesday,2015-01-21,18:45:00,20:00:00,South Delta Female Atom C1,North Shore Female Atom C4,Tilbury Ice,Atom,Red Group,League,South Delta
AL9340,Thursday,2015-01-22,18:00:00,19:15:00,Langley Girls Atom C1,North Shore Female Atom C2,Langley Sportsplex 2,Atom,Blue Group,League,Langley Girls
AL9019,Thursday,2015-01-22,18:15:00,19:30:00,North Shore Female Atom C1,Richmond Girls Atom C1,Harry Jerome Rec Centre,Atom,Black Group,League,North Shore Female
ML9355,Thursday,2015-01-22,18:30:00,20:00:00,Richmond Girls Midget C1,Tri Cities Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,League,Richmond Girls
PL9557,Thursday,2015-01-22,18:30:00,19:45:00,Abbotsford Female Peewee C1,Surrey Female Peewee C1,MSA Arena - Abbotsford,Peewee,Red Group,League,Abbotsford Female
PL9558,Thursday,2015-01-22,19:30:00,21:00:00,Langley Girls Peewee C2,North Shore Female Peewee C2,Langley Sportsplex 2,Peewee,Red Group,League,Langley Girls
ML9707,Thursday,2015-01-22,19:45:00,21:00:00,Vancouver Girls Midget C2,Meadow Ridge Female Midget C1,PNE Agrodome,Midget,Blue Group,League,Vancouver Girls
PL9358,Thursday,2015-01-22,19:45:00,21:00:00,Meadow Ridge Female Peewee C1,Burnaby Female Peewee C1,Planet Ice Maple Ridge 2,Peewee,Black Group,League,Meadow Ridge Female
PL9360,Thursday,2015-01-22,19:45:00,21:00:00,North Shore Female Peewee C1,North Shore Winter Club Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,League,North Shore Female
ML9559,Thursday,2015-01-22,20:00:00,21:15:00,South Delta Female Midget C1,Tri Cities Female Midget C3,Tilbury Ice,Midget,Red Group,League,South Delta
