Game #,Day,Date,Start,End,Home Team,Away Team,Arena
AL9308,Thursday,11/27/2014,18:00,19:15,Langley Girls Atom C1,Burnaby Female Atom C1,Langley Sportsplex 2
ML9317,Thursday,11/27/2014,18:30,20:00,Richmond Girls Midget C1,Tri-Cities Female Midget C3,Richmond Ice Centre Garage
PL9054,Thursday,11/27/2014,18:30,19:45,Abbotsford Female Peewee A1,Surrey Female Peewee A1,MSA Arena - Abbotsford
PL9518,Thursday,11/27/2014,19:30,21:00,Langley Girls Peewee C2,Vancouver Girls Peewee C1,Langley Sportsplex 2
ML9518,Thursday,11/27/2014,19:45,21:00,Meadow Ridge Female Midget C1,Vancouver Girls Midget C2,Planet Ice Maple Ridge 2
PL9318,Thursday,11/27/2014,19:45,21:00,North Shore Female Peewee C1,North Shore Winter Club Female Peewee C1,Harry Jerome Rec Centre
BL9011,Thursday,11/27/2014,20:00,21:15,Abbotsford Female Bantam A1,Richmond Girls Bantam A1,Matsqui Recreation Centre
AL9004,Friday,11/28/2014,18:15,19:30,Richmond Girls Atom C1,Surrey Female Atom C1,Richmond Ice Centre Igloo
BL9324,Friday,11/28/2014,19:45,21:00,Richmond Girls Bantam C1,North Shore Female Bantam C1,Richmond Ice Centre Igloo
ML9318,Friday,11/28/2014,20:15,21:30,Tri-Cities Female Midget C3,Vancouver Girls Midget C1,Port Coquitlam Green
ML9017,Friday,11/28/2014,20:30,22:00,Richmond Girls Midget A1,North Shore Female Midget A1,Minoru Arena Silver Spectrum
ML9018,Friday,11/28/2014,20:30,22:00,Tri-Cities Female Midget A1,Vancouver Girls Midget A1,Coquitlam Recreation
ML9520,Friday,11/28/2014,21:30,22:45,Surrey Female Midget C1,Western Washington Female Midget C1,Surrey Sport & Leisure Centre Arena 3 Green
PL9519,Saturday,11/29/2014,8:30,9:45,Vancouver Girls Peewee C1,Surrey Female Peewee C1,Killarney Community Centre
NL9312,Saturday,11/29/2014,9:00,10:15,Langley Girls Novice C2,Abbotsford Female Novice C1,Langley Sportsplex 1
AL9508,Saturday,11/29/2014,9:30,10:45,North Shore Female Atom C3,North Shore Female Atom C4,Ice Sports North Shore 1 Red
PL9319,Saturday,11/29/2014,9:45,11:00,North Shore Winter Club Female Peewee C1,South Delta Female Peewee C1,North Shore Winter Club
PL9015,Saturday,11/29/2014,11:00,12:15,North Shore Female Peewee A1,Tri-Cities Female Peewee A1,Ice Sports North Shore 1 Red
AL9309,Saturday,11/29/2014,11:15,12:30,North Shore Female Atom C2,Richmond Girls Atom C2,Ice Sports North Shore 3 Green
ML9319,Saturday,11/29/2014,11:30,12:45,Vancouver Girls Midget C1,Abbotsford Female Midget C1,Killarney Community Centre
AL9509,Saturday,11/29/2014,11:45,13:00,Richmond Girls Atom C3,Vancouver Girls Atom C1,Richmond Ice Centre Pond
BL9517,Saturday,11/29/2014,15:30,16:45,Surrey Female Bantam C2,Langley Girls Bantam C1,North Surrey Arena 2
NL9308,Saturday,11/29/2014,15:45,16:45,Burnaby Female Novice C1,Meadow Ridge Female Novice C1,Burnaby Lake Arena
AL9006,Saturday,11/29/2014,16:00,17:30,Surrey Female Atom C1,Tri-Cities Female Atom C1,Surrey Sport & Leisure Centre Arena 3 Green
ML9019,Saturday,11/29/2014,17:00,18:30,Western Washington Female Midget A1,Abbotsford Female Midget A1,Bellingham Sportsplex
PL9321,Saturday,11/29/2014,17:30,18:45,Tri-Cities Female Peewee C1,North Shore Female Peewee C1,Coquitlam Recreation
BL9312,Saturday,11/29/2014,17:45,19:00,Richmond Girls Bantam C1,Meadow Ridge Female Bantam C1,Richmond Ice Centre Igloo
BL9519,Saturday,11/29/2014,17:45,19:00,Abbotsford Female Bantam C1,Vancouver Girls Bantam C1,Matsqui Recreation Centre
ML9321,Saturday,11/29/2014,18:45,20:00,North Shore Winter Club Female Midget C1,Tri-Cities Female Midget C1,North Shore Winter Club
BL9313,Saturday,11/29/2014,19:15,20:30,Tri-Cities Female Bantam C1,South Delta Female Bantam C1,Coquitlam Main
